City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,ciudad bolivar,8.1222,-63.5497,30.86,56,100,0.36,VE,1729116850
318,plettenberg bay,-34.0527,23.3716,19.33,54,93,1.24,ZA,1729116987
319,mhamid,29.82,-5.72,24.62,36,60,3.41,MA,1729116989
320,dakingari,11.6451,4.0605,28.12,59,29,1.83,NG,1729116991
321,luwuk,-0.9516,122.7875,22.76,80,94,1.72,ID,1729116992
322,snezhinsk,56.085,60.7314,0.08,76,100,1.01,RU,1729116994
323,kolonia,50.9333,6.95,15.63,79,0,5.66,DE,1729116995
324,manokwari,-0.8667,134.0833,27.03,76,99,3.26,ID,1729116996
325,manta,-0.95,-80.7333,25.88,73,75,4.63,EC,1729116999
326,constantia,44.1833,28.65,8.38,67,7,5.95,RO,1729117000
327,kuanda,56.3161,116.0806,-5.46,87,100,1.0,RU,1729117001
328,woolgoolga,-30.1106,153.2007,17.93,88,100,1.42,AU,1729117002
329,sullivan,36.5168,-82.5332,11.43,55,75,3.09,US,1729117004
330,kapuskasing,49.4169,-82.4331,10.05,43,75,5.14,CA,1729117005
331,camargo,27.6667,-105.1667,28.64,16,8,9.51,MX,1729116762
332,arvin,35.2091,-118.8284,28.43,43,48,2.24,US,1729117007
333,la passe,45.5549,-0.8967,17.13,95,55,3.79,FR,1729117009
334,cherdyn',60.403,56.4787,2.02,96,99,1.84,RU,1729117010
335,tabou,4.423,-7.3528,24.8,90,70,3.51,CI,1729117011
336,rongelap,11.1635,166.8941,28.73,78,99,8.41,MH,1729117012
337,machico,32.7,-16.7667,22.62,74,20,4.63,PT,1729117014
338,deqen,29.9618,90.7188,2.51,51,0,1.66,CN,1729116855
339,touros,-5.1989,-35.4608,25.27,76,76,6.35,BR,1729117016
340,nuku'alofa,-21.1333,-175.2,23.19,94,100,5.14,TO,1729117017
341,fortuna,40.5982,-124.1573,20.52,67,0,7.2,US,1729117019
342,cidreira,-30.1811,-50.2056,17.99,83,0,4.69,BR,1729117020
343,salinopolis,-0.6136,-47.3561,26.69,75,58,5.71,BR,1729116800
344,mount pearl,47.5166,-52.7813,10.08,79,20,9.26,CA,1729116924
345,selfoss,63.9331,-20.9971,3.91,90,59,0.97,IS,1729117024
346,papao,-17.75,-149.55,28.82,67,5,0.81,PF,1729117025
347,haiku-pauwela,20.9219,-156.3051,29.03,61,20,12.96,US,1729117026
348,ad dawadimi,24.5077,44.3924,25.64,22,0,5.9,SA,1729116825
349,aginskoye,51.1,114.53,-4.97,73,99,1.39,RU,1729117029
350,la ronge,55.1001,-105.2842,9.14,87,100,5.14,CA,1729117030
351,manismata,-2.4667,111.0333,23.19,99,100,0.82,ID,1729117031
352,gelemso,8.8167,40.5167,17.73,49,80,0.8,ET,1729117032
353,paciran,-6.8767,112.3761,25.26,71,100,5.63,ID,1729117033
354,queenstown,-31.8976,26.8753,15.34,55,51,0.53,ZA,1729117035
355,nizao,18.25,-70.2,28.0,65,4,2.54,DO,1729117036
356,gazojak,41.1875,61.4036,5.85,48,6,4.97,TM,1729117037
357,slobozia bradului,45.5,27.05,8.66,65,26,3.18,RO,1729117038
358,cannonvale,-20.2833,148.7,24.66,70,28,3.46,AU,1729117040
359,shinyanga,-3.6667,33.4333,25.49,52,100,3.06,TZ,1729117041
360,lubbock,33.6001,-101.8338,19.14,32,20,5.14,US,1729116926
361,hobyo,5.3505,48.5268,25.46,88,61,9.7,SO,1729117043
362,aripuana,-9.1667,-60.6333,25.9,72,49,2.71,BR,1729117045
363,new norfolk,-42.7826,147.0587,13.29,89,100,0.6,AU,1729117046
